CRIM,ZN,INDUS,AGE,DIS,PTRATIO,B,LSTAT,MEDV
0.33983,22.0,5.86,34.9,8.0555,19.1,390.18,9.16,24.3
2.3004,0.0,19.58,96.1,2.1,14.7,297.09,11.1,23.8
0.02875,28.0,15.04,28.9,3.6659,18.2,396.33,6.21,25.0
15.288,0.0,18.1,93.3,1.3449,20.2,363.02,23.24,13.9
0.0686,0.0,2.89,62.5,3.4952,18.0,396.9,6.19,33.2
4.87141,0.0,18.1,93.6,2.3053,20.2,396.21,18.68,16.7
0.33045,0.0,6.2,61.5,3.6519,17.4,376.75,10.88,24.0
0.04741,0.0,11.93,80.8,2.505,21.0,396.9,7.88,11.9
11.9511,0.0,18.1,100.0,1.2852,20.2,332.09,12.13,27.9
4.66883,0.0,18.1,87.9,2.5806,20.2,10.48,19.01,12.7
0.17004,12.5,7.87,85.9,6.5921,15.2,386.71,17.1,18.9
1.35472,0.0,8.14,100.0,4.175,21.0,376.73,13.04,14.5
0.01432,100.0,1.32,40.5,8.3248,15.1,392.9,3.95,31.6
0.06664,0.0,4.05,33.1,3.1323,16.6,390.96,5.33,29.4
0.05515,33.0,2.18,41.1,4.022,18.4,393.68,6.93,36.1
0.12083,0.0,2.89,76.0,3.4952,18.0,396.9,4.21,38.7
0.14476,0.0,10.01,65.2,2.7592,17.8,391.5,13.61,19.3
13.3598,0.0,18.1,94.7,1.7821,20.2,396.9,16.35,12.7
0.02177,82.5,2.03,15.7,6.27,14.7,395.38,3.11,42.3
9.2323,0.0,18.1,100.0,1.1691,20.2,366.15,9.53,50.0
0.38735,0.0,25.65,95.6,1.7572,19.1,359.29,27.26,15.7
15.1772,0.0,18.1,100.0,1.9142,20.2,9.32,26.45,8.7
14.3337,0.0,18.1,88.0,1.9512,20.2,383.32,13.11,21.4
0.54011,20.0,3.97,81.8,2.1121,13.0,392.8,9.59,33.8
22.5971,0.0,18.1,89.5,1.5184,20.2,396.9,31.99,7.4
0.09252,30.0,4.93,42.2,6.1899,16.6,383.78,7.37,23.3
0.05083,0.0,5.19,38.1,6.4584,20.2,389.71,5.68,22.2
2.37857,0.0,18.1,41.9,3.724,20.2,370.73,13.34,20.6
3.8497,0.0,18.1,91.0,2.5052,20.2,391.34,13.27,21.7
0.36894,22.0,5.86,8.4,8.9067,19.1,396.9,3.54,42.8
0.03705,20.0,3.33,37.2,5.2447,14.9,392.23,4.59,35.4
0.01501,80.0,2.01,29.7,8.344,17.0,390.94,5.99,24.5
0.08826,0.0,10.81,6.6,5.2873,19.2,383.73,6.72,24.2
6.65492,0.0,18.1,83.0,2.7344,20.2,396.9,13.99,19.5
3.32105,0.0,19.58,100.0,1.3216,14.7,396.9,26.82,13.4
0.21977,0.0,6.91,62.0,6.0877,17.9,396.9,16.2,19.4
7.05042,0.0,18.1,85.1,2.0218,20.2,2.52,23.29,13.4
0.35233,0.0,21.89,98.4,1.8498,21.2,394.08,14.59,17.1
9.18702,0.0,18.1,100.0,1.5804,20.2,396.9,23.6,11.3
1.23247,0.0,8.14,91.7,3.9769,21.0,396.9,18.72,15.2
0.05735,0.0,4.49,56.1,4.4377,18.5,392.3,6.53,26.6
0.1146,20.0,6.96,58.7,3.9175,18.6,394.96,7.73,24.4
0.34109,0.0,7.38,40.1,4.7211,19.6,396.9,6.12,25.0
0.10153,0.0,12.83,74.5,4.0522,18.7,373.66,11.97,20.0
4.64689,0.0,18.1,67.6,2.5329,20.2,374.68,11.66,29.8
0.22188,20.0,6.96,51.8,4.3665,18.6,390.77,6.58,35.2
0.13058,0.0,10.01,73.1,2.4775,17.8,338.63,15.37,20.4
9.32909,0.0,18.1,98.7,2.2616,20.2,396.9,18.13,14.1
11.1604,0.0,18.1,94.6,2.1247,20.2,109.85,23.27,13.4
4.34879,0.0,18.1,84.0,3.0334,20.2,396.9,16.29,19.9
0.03113,0.0,4.39,48.5,8.0136,18.8,385.64,10.53,17.5
0.07244,60.0,1.69,18.5,10.7103,18.3,392.33,7.79,18.6
0.16439,22.0,5.86,49.1,7.8265,19.1,374.71,9.52,24.5
0.0459,52.5,5.32,45.6,7.3172,16.6,396.9,7.6,22.3
0.11132,0.0,27.74,83.5,2.1099,20.1,396.9,13.35,20.1
4.0974,0.0,19.58,100.0,1.4118,14.7,396.9,26.42,15.6
0.28392,0.0,7.38,74.3,4.7211,19.6,391.13,11.74,18.5
0.2896,0.0,9.69,72.9,2.7986,19.2,396.9,21.14,19.7
8.20058,0.0,18.1,80.3,2.7792,20.2,3.5,16.94,13.5
0.30347,0.0,7.38,28.9,5.4159,19.6,396.9,6.15,23.0
0.07022,0.0,4.05,47.2,3.5549,16.6,393.23,10.11,23.2
8.15174,0.0,18.1,98.9,1.7281,20.2,396.9,20.85,11.5
0.28955,0.0,10.59,9.8,3.5875,18.6,348.93,29.55,23.7
0.26938,0.0,9.9,82.8,3.2628,18.4,393.39,7.9,21.6
0.15876,0.0,10.81,17.5,5.2873,19.2,376.94,9.88,21.7
0.03466,35.0,6.06,23.3,6.6407,16.9,362.25,7.83,19.4
0.01778,95.0,1.47,13.9,7.6534,17.0,384.3,4.45,32.9
0.05023,35.0,6.06,28.4,6.6407,16.9,394.02,12.43,17.1
18.811,0.0,18.1,100.0,1.5539,20.2,28.79,34.37,17.9
