CRIM,ZN,INDUS,AGE,DIS,PTRATIO,B,LSTAT,MEDV
0.05515,33.0,2.18,41.1,4.022,18.4,393.68,6.93,36.1
0.85204,0.0,8.14,89.2,4.0123,21.0,392.53,13.83,19.6
0.02763,75.0,2.95,21.8,5.4011,18.3,395.63,4.32,30.8
41.5292,0.0,18.1,85.4,1.6074,20.2,329.46,27.38,8.5
0.76162,20.0,3.97,62.8,1.9865,13.0,392.4,10.45,22.8
0.08244,30.0,4.93,18.5,6.1899,16.6,379.41,6.36,23.7
18.4982,0.0,18.1,100.0,1.137,20.2,396.9,37.97,13.8
1.27346,0.0,19.58,92.6,1.7984,14.7,338.92,5.5,27.0
0.13554,12.5,6.07,36.8,6.498,18.9,396.9,13.09,17.4
9.91655,0.0,18.1,77.8,1.5004,20.2,338.16,29.97,6.3
0.01538,90.0,3.75,34.2,6.3361,15.9,386.34,3.11,44.0
0.52693,0.0,6.2,83.0,2.8944,17.4,382.0,4.63,50.0
0.06642,0.0,4.05,74.4,2.9153,16.6,391.27,6.92,29.9
0.53412,20.0,3.97,89.4,2.1398,13.0,388.37,7.26,43.1
0.07503,33.0,2.18,71.9,3.0992,18.4,396.9,6.47,33.4
0.61154,20.0,3.97,86.9,1.801,13.0,389.7,5.12,50.0
0.1146,20.0,6.96,58.7,3.9175,18.6,394.96,7.73,24.4
9.33889,0.0,18.1,95.6,1.9682,20.2,60.72,24.08,9.5
4.75237,0.0,18.1,86.5,2.4358,20.2,50.92,18.13,14.1
0.06617,0.0,3.24,25.8,5.2146,16.9,382.44,9.97,19.3
2.81838,0.0,18.1,40.3,4.0983,20.2,392.92,10.42,21.8
0.03502,80.0,4.95,27.9,5.1167,19.2,396.9,3.33,28.5
0.97617,0.0,21.89,98.4,2.346,21.2,262.76,17.31,15.6
0.06588,0.0,2.46,83.3,2.741,17.8,395.56,7.56,39.8
9.92485,0.0,18.1,96.6,2.198,20.2,388.52,16.44,12.6
0.05372,0.0,13.92,51.0,5.9604,16.0,392.85,7.39,27.1
9.18702,0.0,18.1,100.0,1.5804,20.2,396.9,23.6,11.3
0.12802,0.0,8.56,97.1,2.4329,20.9,395.24,12.27,19.8
0.04297,52.5,5.32,22.9,7.3172,16.6,371.72,9.51,24.8
0.25915,0.0,21.89,96.0,1.7883,21.2,392.11,17.19,16.2
14.0507,0.0,18.1,100.0,1.5275,20.2,35.05,21.22,17.2
9.51363,0.0,18.1,94.1,2.4961,20.2,6.68,18.71,14.9
11.0874,0.0,18.1,100.0,1.8589,20.2,318.75,15.02,16.7
0.14932,25.0,5.13,66.2,7.2254,19.7,395.11,13.15,18.7
0.11329,30.0,4.93,54.3,6.3361,16.6,391.25,11.38,22.0
0.17134,0.0,10.01,88.2,2.4631,17.8,344.91,15.76,18.3
0.17142,0.0,6.91,33.8,5.1004,17.9,396.9,10.21,19.3
0.15445,25.0,5.13,29.2,7.8148,19.7,390.68,6.86,23.3
0.01501,80.0,2.01,29.7,8.344,17.0,390.94,5.99,24.5
0.62739,0.0,8.14,56.5,4.4986,21.0,395.62,8.47,19.9
0.12083,0.0,2.89,76.0,3.4952,18.0,396.9,4.21,38.7
1.62864,0.0,21.89,100.0,1.4394,21.2,396.9,34.41,14.4
4.22239,0.0,18.1,89.0,1.9047,20.2,353.04,14.64,16.8
0.55778,0.0,21.89,98.2,2.1107,21.2,394.67,16.96,18.1
8.49213,0.0,18.1,86.1,2.0527,20.2,83.45,17.64,14.5
0.08387,0.0,12.83,36.6,4.5026,18.7,396.06,9.1,20.3
0.25199,0.0,10.59,72.7,4.3549,18.6,389.43,18.06,22.5
5.44114,0.0,18.1,98.2,2.3552,20.2,355.29,17.73,15.2
0.05302,0.0,3.41,63.1,3.4145,17.8,396.06,5.7,28.7
0.79041,0.0,9.9,52.8,2.6403,18.4,396.9,5.98,22.1
0.14231,0.0,10.01,84.2,2.2565,17.8,388.74,10.45,18.5
4.81213,0.0,18.1,90.0,2.5975,20.2,255.23,16.42,16.4
0.1415,0.0,6.91,6.6,5.7209,17.9,383.37,5.81,25.3
7.40389,0.0,18.1,97.9,1.4547,20.2,314.64,26.4,17.2
0.16439,22.0,5.86,49.1,7.8265,19.1,374.71,9.52,24.5
18.0846,0.0,18.1,100.0,1.8347,20.2,27.25,29.05,7.2
1.51902,0.0,19.58,93.9,2.162,14.7,388.45,3.32,50.0
0.03427,0.0,5.19,46.3,5.2311,20.2,396.9,9.8,19.5
1.12658,0.0,19.58,88.0,1.6102,14.7,343.28,12.12,15.3
1.46336,0.0,19.58,90.8,1.9709,14.7,374.43,1.73,50.0
7.05042,0.0,18.1,85.1,2.0218,20.2,2.52,23.29,13.4
10.0623,0.0,18.1,94.3,2.0882,20.2,81.33,19.69,14.1
0.04203,28.0,15.04,53.6,3.6659,18.2,395.01,8.16,22.9
0.0456,0.0,13.89,56.0,3.1121,16.4,392.8,13.51,23.3
0.05497,0.0,5.19,45.4,4.8122,20.2,396.9,9.74,19.0
5.82401,0.0,18.1,64.7,3.4242,20.2,396.9,10.74,23.0
22.5971,0.0,18.1,89.5,1.5184,20.2,396.9,31.99,7.4
9.59571,0.0,18.1,100.0,1.639,20.2,376.11,20.31,12.1
24.3938,0.0,18.1,100.0,1.4672,20.2,396.9,28.28,10.5
14.3337,0.0,18.1,88.0,1.9512,20.2,383.32,13.11,21.4
0.06162,0.0,4.39,52.3,8.0136,18.8,364.61,12.67,17.2
4.83567,0.0,18.1,53.2,3.1523,20.2,388.22,11.45,20.6
8.79212,0.0,18.1,70.6,2.0635,20.2,3.65,17.16,11.7
0.21124,12.5,7.87,100.0,6.0821,15.2,386.63,29.93,16.5
0.27957,0.0,9.69,42.6,2.3817,19.2,396.9,13.59,24.5
0.32982,0.0,21.89,95.4,2.4699,21.2,388.69,15.03,18.4
0.15038,0.0,25.65,97.0,1.9444,19.1,370.31,25.41,17.3
13.5222,0.0,18.1,100.0,1.5106,20.2,131.42,13.33,23.1
0.1403,22.0,5.86,13.0,7.3967,19.1,396.28,5.9,24.4
14.3337,0.0,18.1,100.0,1.5895,20.2,372.92,30.62,10.2
0.18836,0.0,6.91,33.3,5.1004,17.9,396.9,14.15,20.0
0.06466,70.0,2.24,20.1,7.8278,14.8,368.24,4.97,22.5
2.44668,0.0,19.58,94.0,1.7364,14.7,88.63,16.14,13.1
3.69695,0.0,18.1,91.4,1.7523,20.2,316.03,14.0,21.9
15.8603,0.0,18.1,95.4,1.9096,20.2,7.68,24.39,8.3
0.2909,0.0,21.89,93.6,1.6119,21.2,388.08,24.16,14.0
0.12744,0.0,6.91,2.9,5.7209,17.9,385.41,4.84,26.6
0.0536,21.0,5.64,21.1,6.8147,16.8,396.9,5.28,25.0
1.49632,0.0,19.58,100.0,1.5916,14.7,341.6,13.28,19.6
0.03537,34.0,6.09,40.4,5.4917,16.1,395.75,9.5,22.0
8.15174,0.0,18.1,98.9,1.7281,20.2,396.9,20.85,11.5
3.56868,0.0,18.1,75.0,2.8965,20.2,393.37,14.36,23.2
